Date,Price
25/11/2014,1198.95
26/11/2014,1198.43
27/11/2014,1191.05
28/11/2014,1181.97
1/12/2014,1195.64
2/12/2014,1199.52
3/12/2014,1212.65
4/12/2014,1209.52
5/12/2014,1195.01
8/12/2014,1192.83
9/12/2014,1232.31
10/12/2014,1228.8
11/12/2014,1223.15
12/12/2014,1222.88
15/12/2014,1214.88
16/12/2014,1196.19
17/12/2014,1196.47
18/12/2014,1195.38
19/12/2014,1197.94
22/12/2014,1185.68
23/12/2014,1178.13
24/12/2014,1174.68
25/12/2014,1174.68
26/12/2014,1193.51
29/12/2014,1181.09
30/12/2014,1205.27
31/12/2014,1186.33
1/1/2015,1186.33
2/1/2015,1188.85
5/1/2015,1197.07
6/1/2015,1207.74
7/1/2015,1215.28
8/1/2015,1213.2
9/1/2015,1218.78
12/1/2015,1226.8
13/1/2015,1235.74
14/1/2015,1237.76
15/1/2015,1264.89
16/1/2015,1274.6
19/1/2015,1273.88
20/1/2015,1291.49
21/1/2015,1291.34
22/1/2015,1302.18
23/1/2015,1292.43
26/1/2015,1278.3
27/1/2015,1293.3
28/1/2015,1288.07
29/1/2015,1265.43
30/1/2015,1273.24
2/2/2015,1271.58
3/2/2015,1258.07
4/2/2015,1264.57
5/2/2015,1261.28
6/2/2015,1233.61
9/2/2015,1241.38
10/2/2015,1237.47
11/2/2015,1223.74
12/2/2015,1223.56
13/2/2015,1232.54
16/2/2015,1231.93
17/2/2015,1207.1
18/2/2015,1200.63
19/2/2015,1208.78
20/2/2015,1206.68
23/2/2015,1201.88
24/2/2015,1198.28
25/2/2015,1205.15
26/2/2015,1208.36
27/2/2015,1216.57
2/3/2015,1208.76
3/3/2015,1203.19
4/3/2015,1202.06
5/3/2015,1206.55
6/3/2015,1175.47
9/3/2015,1167.75
10/3/2015,1161.5
11/3/2015,1151.5
12/3/2015,1151.34
13/3/2015,1153.57
16/3/2015,1153.07
17/3/2015,1148.57
18/3/2015,1152.47
19/3/2015,1170.71
20/3/2015,1184.75
23/3/2015,1186.25
24/3/2015,1190.65
25/3/2015,1197.35
26/3/2015,1206.07
27/3/2015,1200.63
30/3/2015,1185.79
31/3/2015,1187.6
1/4/2015,1201.07
2/4/2015,1197.25
3/4/2015,1197.25
6/4/2015,1223.96
7/4/2015,1213.09
8/4/2015,1204.17
9/4/2015,1195.5
10/4/2015,1207.24
13/4/2015,1198.95
14/4/2015,1197.38
15/4/2015,1195.31
16/4/2015,1197.96
17/4/2015,1204.28
20/4/2015,1193.59
21/4/2015,1199.09
22/4/2015,1187.9
23/4/2015,1192.85
24/4/2015,1178.34
27/4/2015,1201.87
28/4/2015,1212.33
29/4/2015,1211.3
30/4/2015,1180.69
1/5/2015,1173.09
4/5/2015,1189.25
